code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date
USD,BRL,Dólar Americano/Real Brasileiro,5.1378,5.11786,-0.0118,-0.229708,5.1252,5.1282,1785323909,2026-07-29 08:18:29
EUR,BRL,Euro/Real Brasileiro,5.8548,5.82751,-0.006806,-0.116585,5.8309,5.84454,1785323890,2026-07-29 08:18:10
